,id,name,nickname,code,city,logo,allStar,nbaFranchise,leagues.standard.conference,leagues.standard.division,leagues.vegas.conference,leagues.vegas.division,leagues.utah.conference,leagues.utah.division,leagues.sacramento.conference,leagues.sacramento.division,leagues.africa.conference,leagues.africa.division
0,1,Atlanta Hawks,Hawks,ATL,Atlanta,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,False,True,East,Southeast,summer,,East,Southeast,East,Southeast,,
1,2,Boston Celtics,Celtics,BOS,Boston,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,False,True,East,Atlantic,summer,,East,Atlantic,East,Atlantic,,
3,4,Brooklyn Nets,Nets,BKN,Brooklyn,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,False,True,East,Atlantic,summer,,East,Atlantic,East,Atlantic,,
4,5,Charlotte Hornets,Hornets,CHA,Charlotte,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,False,True,East,Southeast,summer,,East,Southeast,East,Southeast,,
5,6,Chicago Bulls,Bulls,CHI,Chicago,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d1/Bulls_de_Chicago_logo.svg/1200px-Bulls_de_Chicago_logo.svg.png,False,True,East,Central,summer,,East,Central,East,Central,,
6,7,Cleveland Cavaliers,Cavaliers,CLE,Cleveland,https://upload.wikimedia.org/wikipedia/fr/thumb/0/06/Cavs_de_Cleveland_logo_2017.png/150px-Cavs_de_Cleveland_logo_2017.png,False,True,East,Central,summer,,East,Central,East,Central,,
7,8,Dallas Mavericks,Mavericks,DAL,Dallas,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,False,True,West,Southwest,summer,,West,Southwest,West,Southwest,,
8,9,Denver Nuggets,Nuggets,DEN,Denver,https://upload.wikimedia.org/wikipedia/fr/thumb/3/35/Nuggets_de_Denver_2018.png/180px-Nuggets_de_Denver_2018.png,False,True,West,Northwest,summer,,West,Northwest,West,Northwest,,
9,10,Detroit Pistons,Pistons,DET,Detroit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,False,True,East,Central,summer,,East,Central,East,Central,,
10,11,Golden State Warriors,Warriors,GSW,Golden State,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,False,True,West,Pacific,summer,,West,Pacific,California,,,
13,14,Houston Rockets,Rockets,HOU,Houston,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,False,True,West,Southwest,summer,,West,Southwest,West,Southwest,,
